OccurrenceTime,Level,Latitude,Longitude,Depth,Location
2021-05-14 17:54:04,4.6,39.46,73.15,9,吉尔吉斯斯坦
2021-05-14 01:25:49,2.9,32.57,105.24,9,四川广元市青川县
2021-05-13 21:31:33,5.6,-16.05,-177.25,420,斐济群岛地区
2021-05-13 17:42:11,5.7,6.8,-82.35,10,巴拿马以南海域
2021-05-13 11:42:36,4.7,24.43,99.24,8,云南保山市施甸县
2021-05-12 22:37:06,4.1,37.12,85.08,10,新疆巴音郭楞州且末县
2021-05-12 22:05:15,6.5,-17.30,66.5,10,毛里求斯远海海域
2021-05-12 16:45:47,5.7,13.4,-90.25,60,危地马拉沿岸近海
2021-05-12 14:17:08,5.3,13.4,-90.35,60,危地马拉沿岸近海
2021-05-12 09:09:25,5.6,13.6,120.85,100,菲律宾
2021-05-11 23:27:35,5.2,-5.25,151.1,130,新不列颠岛地区
2021-05-11 06:14:38,3.7,32.5,96.25,10,青海玉树州囊谦县
2021-05-10 22:44:40,3.2,32.01,102.7,17,四川阿坝州黑水县
2021-05-08 22:07:34,3.4,41.24,83.78,10,新疆阿克苏地区库车市
2021-05-08 10:53:51,3.2,43.36,80.81,10,新疆伊犁州察布查尔县
2021-05-08 07:35:11,6.1,-18.75,-177.30,370,斐济群岛地区
2021-05-08 05:24:16,4.3,22.66,120.85,10,台湾台东县
2021-05-07 23:21:16,5.8,-54.50,144,10,麦夸里岛以西海域
2021-05-07 19:45:25,5.3,14.1,-48.27,10,北大西洋
2021-05-05 15:54:16,3,40.86,78.17,10,新疆克孜勒苏州阿合奇县
2021-05-05 09:51:05,3.6,32.4,104.02,10,四川绵阳市平武县
2021-05-05 09:24:31,5.8,-2.25,99.5,10,印尼苏门答腊岛南部海域
2021-05-05 06:59:13,5.1,1.45,127.2,130,印尼哈马黑拉岛附近海域
2021-05-04 05:57:15,3.2,38.35,75.7,131,新疆克孜勒苏州阿克陶县
2021-05-03 19:42:39,4,36.62,94.16,10,青海海西州格尔木市
2021-05-03 13:07:29,5.5,25.65,123.95,200,琉球群岛
2021-05-02 14:57:39,5.8,-30.10,-71.50,50,智利附近海域
2021-05-01 21:17:03,2.8,25.97,100.86,10,云南大理州宾川县
2021-05-01 19:53:19,3.1,29.03,95.54,9,西藏林芝市墨脱县
2021-05-01 09:27:26,6.6,38.25,141.9,30,日本本州东岸近海
2021-05-01 04:19:33,2.8,23.74,114.61,6,广东河源市源城区
2021-04-30 14:00:38,3.1,30.65,103.22,9,四川成都市大邑县
2021-04-29 22:32:58,4.2,21.78,121.72,15,台湾屏东县海域
2021-04-29 17:40:31,3.1,22.57,100.32,10,云南普洱市澜沧县
2021-04-29 14:50:29,6.1,-29.10,-176.80,10,新西兰克马德克群岛
2021-04-29 09:43:07,3.1,30.06,103.09,28,四川雅安市名山区
2021-04-28 19:43:36,3.9,34.68,90.95,7,青海海西州唐古拉地区
2021-04-28 06:10:53,4.2,23.14,120.95,12,台湾台东县
2021-04-28 00:33:35,5.9,-29.30,-176.75,10,新西兰克马德克群岛
2021-04-27 19:43:17,4,35.59,89.8,8,青海玉树州治多县
2021-04-27 19:04:23,5.3,-3.30,145.6,10,巴布亚新几内亚附近海域
2021-04-27 16:05:30,6,-3.50,145.55,10,巴布亚新几内亚附近海域
2021-04-27 13:16:57,3.9,37.45,75.78,100,新疆喀什地区塔什库尔干县
2021-04-27 10:12:48,5.3,-3.40,145.6,10,巴布亚新几内亚附近海域
2021-04-26 21:30:15,3.2,28.18,104.97,10,四川宜宾市兴文县
2021-04-26 06:28:00,6.3,-21.60,-177.05,240,斐济群岛地区
2021-04-26 04:00:26,2.9,28.09,101.19,15,四川凉山州木里县
2021-04-25 23:11:21,3,42.96,125.64,8,吉林辽源市东丰县
2021-04-25 10:44:43,3,41.2,83.66,8,新疆阿克苏地区库车市
2021-04-24 18:10:56,3.1,42.95,85.95,10,新疆巴音郭楞州和静县
2021-04-24 08:23:37,6.2,-18.90,-175.95,300,斐济群岛地区
2021-04-22 16:31:08,2.9,21.75,111.81,12,广东阳江市江城区
2021-04-22 08:17:17,5.5,-34.00,-72.40,10,智利中部沿岸近海
2021-04-22 06:36:06,3.1,37.61,75.8,98,新疆喀什地区塔什库尔干县
2021-04-21 21:28:23,4,29.8,89.62,24,西藏日喀则市南木林县
2021-04-20 07:58:22,5.9,0.25,96.6,10,印尼苏门答腊岛西部海域
2021-04-20 02:02:29,3.2,41.34,83.69,10,新疆阿克苏地区库车市
2021-04-19 19:13:22,3.5,34.69,90.79,10,青海海西州唐古拉地区
2021-04-18 22:14:38,6.1,23.94,121.43,5,台湾花莲县
2021-04-18 22:11:39,5.6,23.92,121.53,7,台湾花莲县
2021-04-18 14:41:50,5.9,29.7,50.6,10,伊朗
2021-04-18 11:35:39,3.3,26.14,100.01,9,云南大理州洱源县
2021-04-18 08:29:13,5.3,38.45,141.8,50,日本本州东岸近海
2021-04-18 08:11:57,2.8,30.37,102.96,15,四川雅安市芦山县
2021-04-16 16:06:06,4.3,39.75,118.71,9,河北唐山市滦州市
2021-04-16 06:26:23,3.1,32.48,78.76,10,西藏阿里地区札达县
2021-04-14 18:55:13,5.4,0.25,96.5,10,印尼苏门答腊岛北部海域
